id;jabatan;unsur;sub_unsur;kegiatan;bobot
153;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Mutasi ASN;Menyusun kerangka kerja mutasi ASN sesuai pedoman dan peraturan perundang-undangan;0.400
154;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Mutasi ASN;Menganalisis proses mutasi ASN;0.900
155;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Mutasi ASN;Menganalisis proses mutasi ASN;2.000
156;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Mutasi ASN;Mengembangkan sistem/ model mutasi ASN instansional/nasional;0.450
157;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penugasan ASN;Menyusun kerangka kerja penugasan ASN sesuai pedoman dan peraturan perundangundangan;0.400
158;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penugasan ASN;Menganalisis proses penugasan ASN;0.900
159;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penugasan ASN;Mengevaluasi pelaksanaan penugasan ASN;2.000
160;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penugasan ASN;Mengembangkan sistem/ model penugasan ASN;0.400
161;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penugasan ASN;Mengelola sistem informasi manajemen karier ASN;0.400
162;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penugasan ASN;Mengembangkan model manajemen karier ASN berbasis sistem merit;0.450
163;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pengembangan Kompetensi ASN;Merancang kebutuhan dan rencana pengembangan kompetensi ASN;0.400
164;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pengembangan Kompetensi ASN;Menganalisis perangkat/ instrumen pengembangan kompetensi ASN;0.900
165;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pengembangan Kompetensi ASN;Mengevaluasi pelaksanaan pengembangan kompetensi ASN;2.000
166;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pengembangan Kompetensi ASN;Mendisain sistem/model pengembangan kompetensi ASN instansional/nasional;0.400
167;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pengembangan Kompetensi ASN;Menyusun dan memvalidasi instrumen uji/sertifikasi kompetensi ASN;0.060
168;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pengembangan Kompetensi ASN;Melaksanakan kegiatan proses uji kompetensi dan sertifikasi ASN;0.200
169;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pengembangan Kompetensi ASN;Menganalisis kebutuhan CoachingASN;1.200
170;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pengembangan Kompetensi ASN;Mendesain program CoachingASN;0.400
171;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pengembangan Kompetensi ASN;Mengevaluasi pelaksanaan CoachingASN;3.000
172;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pengembangan Kompetensi ASN;Merancang model proses Coachingdan pengembangan strategik (strategic training and development process) yang efektif untuk ASN;0.400
173;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pengembangan Kompetensi ASN;Menyusun rencana pengembang an individu pegawai;0.450
174;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Menyusun kerangka kerja sistem manajemen kinerja ASN terintegrasi sesuai pedoman dan peraturan perundangan-undangan;0.400
175;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Menyusun peta strategi;0.450
176;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Menyusun perencanaan kinerja ASN;0.300
177;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Mengelola kinerja pegawai;1.200
178;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Merumuskan standar perilaku kerja dalam jabatan ASN;1.000
179;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Mendokumentasikan pelaksanaan rencana kinerja pegawai secara periodik;0.050
180;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Melakukan monitoring/pemantau an kinerja ASN;0.500
181;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Menyusun instrumen pelaksanaan pengukuran kinerja pegawai;0.150
182;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Menyusun dokumen hasil pengukuran kinerja pegawai;0.080
183;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Melaksanakan bimbingan kinerja pegawai;0.020
184;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Melakukan layanan konseling kinerja pegawai;1.500
185;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Menyusun program mentoring, coaching dan konseling peningkatan kinerja pegawai;0.200
186;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Menyusun dokumen penilaian Sasaran Kenerja Pegawai (SKP);0.900
187;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Menganalisis penggunaan metode proporsional hasil kinerja periode SKP;0.200
188;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Menyusun dokumen penilaian perilaku kerja;0.450
189;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Menyusun instrumen penetapan penciptaan ide baru dan/atau cara baru dalam peningkatan kinerja yang bermanfaat bagi organisasi/negara;0.400
190;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Menganalisis pelaksanaan pendistribusian predikat penilaian kinerja pada unit kerja/organisasi/instansi pemerintah;0.900
191;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Menganalisis pelaksanaan penilaian kinerja yang menjalankan tugas belajar/penugasan khusus;0.400
192;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Menganalisis penilaian kinerja yang dilakukan oleh Pejabat Penilai Kinerja;0.450
193;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;enyusun dokumen tindak lanjut penilaian kinerja;0.400
194;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Menyusun profil kinerja pegawai berdasarkan pemeringkatan kinerja dalam lingkup satu unit kerja/ organisasi/instansi pemerintah;1.500
195;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Menyusun penentuan prioritas pengembangan kompetensi dan pengembangan karier berdasarkan pemeringkatan kinerja;0.800
196;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Menganalisis pelaksanaan pembayaran tunjangan kinerja dan/atau penghargaan lain berdasarkan laporan dokumen penilaian kinerja;0.450
197;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Merancang instrumen dan materi uji untuk perbaikan/evaluasi kinerja;0.500
198;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Menyusun dokumentasi tertulis pelaksanaan pemberian sanksi dan evaluasi kinerja;0.150
199;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Menyusun kerangka kerja/ blueprint sistem informasi kinerja;1.000
200;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Membuat catatan/record kinerja pegawai;0.080
201;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Menganalisis proses manajemen kinerja ASN;0.400
202;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Mengevaluasi pelaksanaan manajemen kinerja ASN;0.900
203;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Mengembangkan sistem/ model manajemen kinerja ASN;2.000
204;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Merancang manajemen kinerja organisasi berdasarkan ballance scorecard atau sistem lain;0.200
205;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penilaian Kinerja ASN;Menyusun indikator kinerja utama (key performance indicator) dan kompetensi dalam penilaian kinerja ASN;0.600
206;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Disiplin ASN;Menyusun kerangka kerja disiplin ASN sesuai pedoman dan peraturan perundang-undangan;0.450
207;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Disiplin ASN;Menganalisis proses disiplin ASN;0.400
208;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Disiplin ASN;Mengevaluasi penerapan disiplin ASN;0.900
209;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Disiplin ASN;Mengembangkan sistem/model disiplin ASN;2.000
210;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Disiplin ASN;Menganalisis status dan kedudukan hukum kepegawaian ASN;0.900
211;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Disiplin ASN;Menyusun kerangka kerja sistem penghargaan ASN sesuai pedoman dan peraturan UU;0.450
212;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Disiplin ASN;Merumuskan rekomendasi pengha rgaan ASN;0.500
213;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Disiplin ASN;Mengevaluasi pelaksanaan penghargaan ASN;0.900
214;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Disiplin ASN;Mengembangkan sistem/ model pemberian penghargaan ASN;2.000
215;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penggajian, Tunjangan dan Fasilitas ASN;Menyusun kerangka kerja sistem penggajian, tunjangan dan fasilitas ASN sesuai pedoman dan peraturan perundang-undangan;0.450
216;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penggajian, Tunjangan dan Fasilitas ASN;Menganalisis sistem penggajian, tunjangan dan fasilitas ASN;0.400
217;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penggajian, Tunjangan dan Fasilitas ASN;Mengevaluasi pelaksanaan sistem penggajian, tunjangan dan fasilitas ASN;0.900
218;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Penggajian, Tunjangan dan Fasilitas ASN;Mengembangkan sistem/ model penggajian, tunjangan dan fasilitas ASN;2.000
219;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pemberhentian ASN;Menyusun kerangka kerja sistem pemberhentian ASN sesuai pedoman dan peraturan perundang-undangan;0.450
220;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pemberhentian ASN;Menganalisis proses pemberhentian ASN;0.400
221;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pemberhentian ASN;Mengevaluasi pelaksanaan pe mberhentian ASN;0.900
222;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Pemberhentian ASN;Mengembangkan sistem/model pemberhentian ASN;2.000
223;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Jaminan Pensiun dan Jaminan Hari Tua ASN;Menyusun kerangka kerja Jaminan Pensiun dan Jaminan Hari Tua ASN sesuai pedoman dan peraturan perundangundangan;0.450
224;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Jaminan Pensiun dan Jaminan Hari Tua ASN;Menganalisis proses Jaminan Pensiun dan Jaminan Hari Tua ASN;0.400
225;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Jaminan Pensiun dan Jaminan Hari Tua ASN;Mengevaluasi pelaksanaan Jaminan Pensiun dan Jaminan Hari Tua ASN;0.900
226;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Jaminan Pensiun dan Jaminan Hari Tua ASN;Mengembangkan sistem/model Jaminan Pensiun dan Jaminan Hari Tua ASN;2.000
227;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Perlindungan ASN;Menyusun kerangka kerja sistem perlindungan ASN sesuai pedoman dan peraturan perundang-undangan;0.450
228;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Perlindungan ASN;Menganalisis proses perlindungan ASN;0.400
229;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Perlindungan ASN;Mengevaluasi pelaksanaan perlindungan ASN;0.900
230;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Perlindungan ASN;Mengembangkan sistem/model perlindungan ASN;2.000
231;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Cuti ASN;Menyusun kerangka kerja cuti ASN sesuai pedoman dan peraturan perundang-undangan;0.450
232;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Cuti ASN;Menganalisis proses cuti ASN;0.400
233;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Cuti ASN;Mengevaluasi pelaksanaan cuti ASN;0.900
234;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Cuti ASN;Mengembangkan sistem/model cuti ASN;2.000
235;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Sistem Informasi ASN;Menyusun kerangka kerja sistem informasi ASN sesuai pedoman dan peraturan perundang-undangan;0.450
236;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Sistem Informasi ASN;Mengelola sistem informasi ASN;0.400
237;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Sistem Informasi ASN;Mengevaluasi penerapan sistem informasi dalam praktik manajemen ASN;0.900
238;Analis SDM Aparatur;Sistem Manajemen Aparatur Sipil Negara;Sistem Informasi ASN;Mengembangan model sistem informasi ASN instansional/nasional;2.000
239;Analis SDM Aparatur;Manajemen SDM Aparatur Strategik & Reformasi Birokrasi;Manajemen SDM Aparatur;Menyusun kerangka kerja sistem manajemen SDM aparatur strategik berberbasis kompetensi atau talenta/reformasi birokrasi/zona integritas sesuai pedoman dan peraturan perundangan-undangan;0.450
240;Analis SDM Aparatur;Manajemen SDM Aparatur Strategik & Reformasi Birokrasi;Manajemen SDM Aparatur;Mengelola pelaksanaan manajemen SDM aparatur strategik berberbasis kompetensi atau talenta/reformasi birokrasi/zona integritas;0.200
241;Analis SDM Aparatur;Manajemen SDM Aparatur Strategik & Reformasi Birokrasi;Reformasi Birokrasi;Mengevaluasi pelaksanaan manajemen SDM berberbasis kompetensi atau talenta/reformasi birokrasi/zona integritas;0.900
242;Analis SDM Aparatur;Manajemen SDM Aparatur Strategik & Reformasi Birokrasi;Reformasi Birokrasi;Menyusun saran kebijakan pelaksanaan manajemen SDM berberbasis kompetensi atau talenta/reformasi birokrasi/zona integritas;0.400
243;Analis SDM Aparatur;Manajemen SDM Aparatur Strategik & Reformasi Birokrasi;Reformasi Birokrasi;Menyusun perangkat implementasi manajemen SDM berberbasis kompetensi atau talenta/reformasi birokrasi/zona integritas;0.900
244;Analis SDM Aparatur;Analisis dan Rancangan Organisasi Publik;Analisis Organisasi Publik;Menyusun struktur/ kelembagaan/ tatalaksana/ proses bisnis unit kerja/ instansi;0.450
245;Analis SDM Aparatur;Analisis dan Rancangan Organisasi Publik;Analisis Organisasi Publik;Mendiagnosis struktur/ kelembagaan/tatalaksana/proses bisnis yang efektif untuk instansi pemerintah;0.400
246;Analis SDM Aparatur;Analisis dan Rancangan Organisasi Publik;Analisis Organisasi Publik;Mengevaluasi penerapan struktur/kelembagaan/tatalaksan a/proses bisnis unit kerja/instansi;1.500
247;Analis SDM Aparatur;Analisis dan Rancangan Organisasi Publik;Analisis Organisasi Publik;Mengembangkan model struktur/kelembagaan/tatalaksan a/proses bisnis yang adaptif bagi organisasi;0.800
248;Analis SDM Aparatur;Analisis dan Rancangan Organisasi Publik;Rancangan Organisasi Publik;Menganalisis dan menyusun rekomendasi peran, fungsi, kewenangan dan mekanisme kerja kelembagaan ASN dan/atau lembaga pengelola kepegawaian dengan unit kerja dalam penguatan efektivitas organisas;0.400
249;Analis SDM Aparatur;Analisis dan Rancangan Organisasi Publik;Rancangan Organisasi Publik;Mengembangkan model dan strategi peran, fungsi & kewenangan serta mekanisme kerja kelembagaan ASN dan/atau lembaga pengelola kepegawaian dalam penguatan kepegawaian ASN;1.800
250;Analis SDM Aparatur;Analisis dan Rancangan Organisasi Publik;Rancangan Organisasi Publik;Menyusun rencana strategik/ rencana kerja unit kerja/instansi;0.800
251;Analis SDM Aparatur;Analisis dan Rancangan Organisasi Publik;Rancangan Organisasi Publik;Menganalisis dan menyusun rekomendasi peran, fungsi, kewenangan dan mekanisme kerja instansi pembina, instansi pengguna dan organisasi profesi dalam pengelolaan jabatan ASN;1.200
252;Analis SDM Aparatur;Proses & Analisis Kebijakan/ Regulasi Bidang SDM Aparatur;Proses Kebijakan/ Regulasi Bidang SDM Aparatur;Menyusun kerangka kerja proses penyusunan kebijakan/regulasi Bidang SDM Aparatur;0.250
253;Analis SDM Aparatur;Proses & Analisis Kebijakan/ Regulasi Bidang SDM Aparatur;Proses Kebijakan/ Regulasi Bidang SDM Aparatur;Menganalisis proses penyusunan kebijakan/regulasi Bidang SDM Aparatu;0.400
254;Analis SDM Aparatur;Proses & Analisis Kebijakan/ Regulasi Bidang SDM Aparatur;Proses Kebijakan/ Regulasi Bidang SDM Aparatur;Mengevaluasi pelaksanaan kebijakan/regulasi Bidang SDM Aparatur;1.050
255;Analis SDM Aparatur;Proses & Analisis Kebijakan/ Regulasi Bidang SDM Aparatur;Analisis Kebijakan/ Regulasi Bidang SDM Aparatur;Mendisain sistem/model kebijakan/regulasi Bidang SDM Aparatur;2.000
256;Analis SDM Aparatur;Proses & Analisis Kebijakan/ Regulasi Bidang SDM Aparatur;Analisis Kebijakan/ Regulasi Bidang SDM Aparatur;Menyusun panduan/naskah akademik kebijakan/regulasi bidang SDM aparatur;0.500
257;Analis SDM Aparatur;Proses & Analisis Kebijakan/ Regulasi Bidang SDM Aparatur;Analisis Kebijakan/ Regulasi Bidang SDM Aparatur;Melaksanakan asistensi dan konsultasi pengelolaan sistem kepegawaian ASN/SDM aparatur;0.020
258;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Perikatan dan Penyelesaian Tagihan;menyusun rencana pelaksanaan kegiatan dan rencana penarikan dana;0.010
259;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Perikatan dan Penyelesaian Tagihan;menerbitkan Surat Penunjukan Penyedia Barang/Jasa;0.010
260;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Perikatan dan Penyelesaian Tagihan;membuat, menandatangani dan melaksanakan perjanjian dengan Penyedia Barang/Jasa;0.010
261;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Perikatan dan Penyelesaian Tagihan;melaksanakan kegiatan swakelola;0.010
262;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Perikatan dan Penyelesaian Tagihan;memberitahukan kepada Kuasa Bendahara Umum Negara atas perjanjian yang dilakukannya;0.010
263;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Perikatan dan Penyelesaian Tagihan;mengendalikan pelaksanaan perikatan;0.010
264;Analis Pengelolaan Keuangan APBN;Analis Pengelolaan Keuangan APBN;Perikatan dan Penyelesaian Tagihan;menguji dan menandatangani surat bukti mengenai hak tagih kepada negara;0.010
